split	dataset	rows	valid_rdkit_rows	full_match_rows	full_match_pct	connectivity_match_rows	connectivity_match_pct
test	AMES	1453	1453	539	37.0956641431521	689	47.41913282863042
test	BBB_Martins	392	392	347	88.5204081632653	375	95.66326530612245
test	Bioavailability_Ma	128	128	128	100.0	128	100.0
test	CYP1A2_Veith	2515	2515	2395	95.22862823061631	2465	98.01192842942346
test	CYP2C19_Veith	2528	2528	2407	95.2136075949367	2485	98.29905063291139
test	CYP2C9_Substrate_CarbonMangels	135	135	112	82.96296296296296	131	97.03703703703704
test	CYP2C9_Veith	2413	2413	2274	94.23953584749275	2357	97.67923746373809
test	CYP2D6_Substrate_CarbonMangels	133	133	112	84.21052631578948	130	97.74436090225564
test	CYP2D6_Veith	2623	2623	2505	95.50133434998094	2578	98.28440716736561
test	CYP3A4_Substrate_CarbonMangels	134	134	107	79.85074626865672	131	97.76119402985074
test	CYP3A4_Veith	2463	2463	2353	95.5339017458384	2417	98.13235891189606
test	Carcinogens_Lagunin	54	54	44	81.48148148148148	49	90.74074074074075
test	ClinTox	286	286	144	50.34965034965035	269	94.05594405594405
test	DILI	96	96	81	84.375	93	96.875
test	HIA_Hou	117	117	67	57.26495726495727	104	88.88888888888889
test	PAMPA_NCATS	408	408	300	73.52941176470588	303	74.26470588235294
test	Pgp_Broccatelli	245	245	171	69.79591836734694	224	91.42857142857143
test	SARSCoV2_3CLPro_Diamond	176	176	59	33.52272727272727	63	35.79545454545455
test	SARSCoV2_Vitro_Touret	297	297	277	93.26599326599326	290	97.64309764309765
test	Skin_Reaction	82	82	38	46.34146341463415	48	58.53658536585366
test	Tox21_NR-AR	1404	1404	1295	92.23646723646723	1396	99.43019943019944
test	Tox21_NR-AR-LBD	1332	1332	1228	92.1921921921922	1321	99.17417417417417
test	Tox21_NR-AhR	1297	1297	1191	91.82729375481881	1281	98.76638396299153
test	Tox21_NR-Aromatase	1144	1144	1065	93.0944055944056	1132	98.95104895104895
test	Tox21_NR-ER	1195	1195	1101	92.13389121338912	1178	98.57740585774059
test	Tox21_NR-ER-LBD	1377	1377	1271	92.30210602759622	1362	98.91067538126362
test	Tox21_NR-PPAR-gamma	1269	1269	1166	91.88337273443656	1256	98.97557131599685
test	Tox21_SR-ARE	1143	1143	1076	94.13823272090988	1132	99.03762029746282
test	Tox21_SR-ATAD5	1371	1371	1276	93.07075127644056	1361	99.27060539752006
test	Tox21_SR-HSE	1267	1267	1205	95.10655090765589	1257	99.21073401736385
test	Tox21_SR-MMP	1153	1153	1068	92.62792714657415	1139	98.78577623590633
test	Tox21_SR-p53	1325	1325	1234	93.13207547169812	1318	99.47169811320755
test	hERG	124	124	51	41.12903225806452	111	89.51612903225806
train	AMES	5081	5081	2475	48.71088368431411	2787	54.85140720330644
train	BBB_Martins	1369	1369	1127	82.32286340394448	1296	94.66764061358656
train	Bioavailability_Ma	448	448	437	97.54464285714286	446	99.55357142857143
train	CYP1A2_Veith	8787	8787	8373	95.28849436667805	8617	98.06532377375669
train	CYP2C19_Veith	8836	8836	8419	95.2806699864192	8675	98.17790855590765
train	CYP2C9_Substrate_CarbonMangels	465	465	385	82.79569892473118	454	97.63440860215054
train	CYP2C9_Veith	8437	8437	8057	95.49602939433449	8296	98.32878985421358
train	CYP2D6_Substrate_CarbonMangels	464	464	380	81.89655172413794	452	97.41379310344827
train	CYP2D6_Veith	9158	9158	8689	94.87879449661499	8948	97.70692290893209
